Employee_ID;Department;Gender;Age;Job_Title;Hire_Date;Years_At_Company;Education_Level;Performance_Score;Monthly_Salary;Work_Hours_Per_Week;Projects_Handled;Overtime_Hours;Sick_Days;Remote_Work_Frequency;Team_Size;Training_Hours;Promotions;Employee_Satisfaction_Score;Resigned
42;Marketing;Male;29;Specialist;2021-10-31 08:03:05.556036;2;High School;4;6300.0;33;10;6;2;25;8;28;2;4.84;FALSE
43;Customer Support;Male;60;Engineer;2016-08-11 08:03:05.556036;8;Bachelor;3;7800.0;46;48;4;6;75;13;21;0;3.59;FALSE
44;Marketing;Female;43;Manager;2021-05-21 08:03:05.556036;3;High School;3;7800.0;43;25;2;3;0;7;85;0;3.32;FALSE
45;Customer Support;Female;46;Developer;2021-03-03 08:03:05.556036;3;Master;2;6000.0;58;7;29;3;25;12;4;1;2.53;FALSE
46;HR;Female;29;Specialist;2016-06-12 08:03:05.556036;8;High School;2;5400.0;31;19;11;6;75;7;90;1;1.59;FALSE
47;HR;Male;32;Technician;2021-04-03 08:03:05.556036;3;Bachelor;4;4900.0;41;19;26;1;75;5;21;2;1.27;FALSE
48;Operations;Male;31;Specialist;2023-11-23 08:03:05.556036;0;Bachelor;1;4950.0;45;31;20;2;75;15;82;2;4.84;FALSE
49;Legal;Male;40;Specialist;2016-06-02 08:03:05.556036;8;High School;5;6750.0;59;49;0;2;100;17;13;1;2.9;FALSE
50;Operations;Other;57;Developer;2020-01-24 08:03:05.556036;4;High School;2;6000.0;53;10;19;13;50;3;15;0;1.47;FALSE
51;Legal;Female;35;Consultant;2019-09-13 08:03:05.556036;4;Bachelor;1;6050.0;55;26;29;4;100;2;28;1;3.02;FALSE
52;HR;Male;40;Developer;2017-03-21 08:03:05.556036;7;Bachelor;2;6000.0;46;9;12;8;25;10;18;1;1.43;FALSE
53;Engineering;Male;28;Consultant;2015-06-03 08:03:05.556036;9;Bachelor;3;7150.0;38;34;4;3;0;5;12;0;2.56;FALSE
54;Engineering;Female;37;Technician;2015-10-24 08:03:05.556036;8;High School;2;4200.0;50;22;0;8;100;1;92;1;1.1;FALSE
55;Operations;Female;34;Technician;2015-08-15 08:03:05.556036;9;High School;5;5250.0;32;26;6;6;25;3;68;1;1.87;TRUE
56;Marketing;Female;34;Developer;2021-11-25 08:03:05.556036;2;Bachelor;3;6500.0;41;18;21;3;75;8;7;0;1.7;FALSE
57;Customer Support;Female;33;Specialist;2016-04-17 08:03:05.556036;8;PhD;1;4950.0;33;46;28;8;75;1;36;2;2.64;TRUE
58;Finance;Male;23;Developer;2019-07-21 08:03:05.556036;5;Bachelor;4;7000.0;32;42;8;12;0;3;27;2;3.97;FALSE
59;IT;Other;52;Technician;2024-07-03 08:03:05.556036;0;High School;3;4550.0;53;7;5;2;25;12;74;2;4.23;TRUE
60;Customer Support;Female;54;Manager;2019-09-05 08:03:05.556036;5;Bachelor;1;6600.0;51;17;19;8;50;5;99;1;3.02;FALSE
61;Operations;Female;34;Consultant;2021-05-21 08:03:05.556036;3;Bachelor;2;6600.0;40;17;14;4;50;6;20;1;2.32;FALSE
62;Engineering;Male;53;Specialist;2017-07-11 08:03:05.556036;7;High School;5;6750.0;43;44;0;13;75;16;75;2;2.15;FALSE
63;Sales;Male;27;Manager;2018-05-23 08:03:05.556036;6;Bachelor;3;7800.0;44;29;12;0;75;18;73;1;2.26;FALSE
64;Finance;Female;58;Manager;2018-01-23 08:03:05.556036;6;High School;4;8400.0;50;10;14;9;25;17;21;0;1.68;TRUE
65;Sales;Female;41;Specialist;2018-11-19 08:03:05.556036;5;Bachelor;1;4950.0;41;37;13;9;75;5;3;0;4.33;FALSE
66;Legal;Male;37;Technician;2024-07-16 08:03:05.556036;0;Bachelor;4;4900.0;54;32;4;3;25;2;12;1;2.13;FALSE
67;Sales;Male;49;Manager;2017-01-03 08:03:05.556036;7;Master;2;7200.0;55;30;19;0;75;19;93;0;4.26;FALSE
68;HR;Male;39;Consultant;2024-08-14 08:03:05.556036;0;Bachelor;2;6600.0;53;10;17;14;50;3;64;2;2.45;FALSE
69;Operations;Female;38;Specialist;2016-07-21 08:03:05.556036;8;Bachelor;4;6300.0;52;6;9;6;0;5;9;0;2.42;FALSE
70;Sales;Male;52;Manager;2015-11-26 08:03:05.556036;8;Master;1;6600.0;32;2;13;11;25;16;8;0;4.45;FALSE
71;IT;Female;42;Developer;2023-01-13 08:03:05.556036;1;High School;1;5500.0;53;20;13;8;100;8;75;1;4.49;FALSE
72;Engineering;Female;42;Analyst;2023-07-17 08:03:05.556036;1;Master;4;5600.0;53;1;16;11;50;11;15;2;3.55;FALSE
73;Sales;Female;33;Developer;2023-01-08 08:03:05.556036;1;Bachelor;2;6000.0;36;42;15;1;0;5;41;0;1.31;FALSE
74;Legal;Female;47;Developer;2020-01-18 08:03:05.556036;4;Bachelor;2;6000.0;37;6;15;1;0;12;8;1;4.98;FALSE
75;HR;Female;33;Consultant;2024-04-29 08:03:05.556036;0;High School;2;6600.0;31;6;24;10;75;10;1;1;1.39;FALSE
76;Engineering;Male;47;Consultant;2018-04-11 08:03:05.556036;6;High School;4;7700.0;55;36;22;3;100;10;84;1;1.75;FALSE
77;Customer Support;Male;31;Technician;2017-05-24 08:03:05.556036;7;PhD;3;4550.0;32;46;19;0;50;19;82;0;3.2;FALSE
78;Sales;Male;28;Developer;2020-10-17 08:03:05.556036;3;Master;5;7500.0;42;28;6;6;25;1;38;1;3.55;FALSE
79;Legal;Male;46;Consultant;2016-02-05 08:03:05.556036;8;High School;3;7150.0;60;36;27;13;25;5;94;2;3.5;TRUE
80;Customer Support;Female;54;Specialist;2019-02-20 08:03:05.556036;5;High School;1;4950.0;31;27;5;6;0;12;53;1;2.09;FALSE
81;Legal;Female;55;Developer;2024-05-07 08:03:05.556036;0;Master;3;6500.0;38;12;25;6;100;13;94;0;3.75;FALSE
82;Customer Support;Female;23;Specialist;2016-12-14 08:03:05.556036;7;High School;3;5850.0;40;19;14;14;100;14;0;0;3.4;TRUE
83;Engineering;Male;46;Analyst;2021-06-23 08:03:05.556036;3;Bachelor;2;4800.0;35;24;10;13;0;4;85;0;1.33;FALSE
84;HR;Female;28;Analyst;2016-03-23 08:03:05.556036;8;Master;1;4400.0;53;38;22;14;100;17;67;2;2.17;FALSE
85;Marketing;Female;46;Specialist;2015-09-16 08:03:05.556036;8;Bachelor;2;5400.0;44;16;13;13;100;11;0;1;4.27;FALSE
86;Legal;Female;59;Engineer;2015-02-11 08:03:05.556036;9;Bachelor;4;8400.0;33;11;7;4;100;5;40;2;2.37;FALSE
87;Marketing;Male;55;Technician;2019-11-14 08:03:05.556036;4;PhD;3;4550.0;59;1;9;1;25;17;59;2;1.77;FALSE
88;Marketing;Male;52;Technician;2019-07-05 08:03:05.556036;5;Bachelor;2;4200.0;33;45;2;4;50;18;12;0;1.11;FALSE
89;Finance;Female;27;Engineer;2023-11-06 08:03:05.556036;0;Master;2;7200.0;31;1;25;5;0;15;22;1;2.08;FALSE
90;Customer Support;Female;39;Manager;2018-01-19 08:03:05.556036;6;Bachelor;4;8400.0;33;11;10;2;100;9;53;0;3.22;FALSE
91;Customer Support;Male;55;Consultant;2024-03-15 08:03:05.556036;0;Bachelor;2;6600.0;44;42;5;6;0;9;26;2;3.23;TRUE
92;Legal;Male;48;Developer;2019-07-13 08:03:05.556036;5;Bachelor;1;5500.0;42;11;26;12;100;15;84;1;3.69;TRUE
93;Finance;Male;50;Manager;2023-11-09 08:03:05.556036;0;High School;4;8400.0;54;9;29;7;25;15;3;2;3.66;FALSE
94;Engineering;Male;52;Specialist;2021-04-23 08:03:05.556036;3;High School;4;6300.0;44;19;10;7;50;1;81;1;4.1;FALSE
95;Operations;Male;52;Developer;2015-07-06 08:03:05.556036;9;High School;1;5500.0;47;4;19;10;0;19;33;0;4.36;FALSE
96;Marketing;Female;30;Manager;2019-04-11 08:03:05.556036;5;High School;3;7800.0;49;24;20;2;50;19;43;2;1.03;TRUE
97;Engineering;Male;58;Specialist;2015-04-14 08:03:05.556036;9;PhD;3;5850.0;45;24;16;12;50;7;0;0;2.34;FALSE
98;Finance;Female;38;Manager;2015-12-31 08:03:05.556036;8;High School;3;7800.0;41;31;12;10;75;9;64;0;4.2;FALSE
99;Sales;Male;24;Developer;2019-11-15 08:03:05.556036;4;Bachelor;2;6000.0;50;33;0;9;0;13;37;1;4.39;FALSE
100;Customer Support;Other;33;Manager;2017-12-01 08:03:05.556036;6;Bachelor;3;7800.0;36;9;10;14;25;13;30;1;3.19;TRUE
101;Finance;Female;45;Engineer;2017-12-29 08:03:05.556036;6;High School;4;8400.0;35;0;18;14;75;17;48;0;3.42;FALSE
102;IT;Female;33;Consultant;2019-11-22 08:03:05.556036;4;High School;1;6050.0;54;31;11;3;0;2;48;1;3.63;TRUE
103;IT;Male;33;Consultant;2020-01-07 08:03:05.556036;4;Bachelor;3;7150.0;49;45;29;2;75;6;57;2;5.0;TRUE
104;Engineering;Male;58;Consultant;2018-01-20 08:03:05.556036;6;Bachelor;4;7700.0;59;44;18;13;100;12;53;1;2.13;FALSE
105;Customer Support;Female;55;Technician;2019-05-21 08:03:05.556036;5;High School;1;3850.0;58;1;1;0;0;4;29;1;2.3;FALSE
106;Customer Support;Male;46;Manager;2021-09-13 08:03:05.556036;2;Bachelor;4;8400.0;36;1;6;9;50;17;10;0;2.94;FALSE
107;HR;Female;22;Developer;2020-12-17 08:03:05.556036;3;Bachelor;4;7000.0;34;8;17;12;100;16;1;0;2.8;FALSE
108;Operations;Female;37;Engineer;2015-01-26 08:03:05.556036;9;Bachelor;4;8400.0;56;26;7;9;100;15;12;2;4.68;FALSE
109;Sales;Male;56;Consultant;2018-08-02 08:03:05.556036;6;Bachelor;1;6050.0;51;24;2;11;75;3;82;1;2.7;FALSE
110;Sales;Male;36;Consultant;2018-09-23 08:03:05.556036;5;High School;5;8250.0;50;32;28;5;50;9;56;0;1.64;FALSE
111;IT;Male;43;Technician;2023-09-08 08:03:05.556036;0;Bachelor;2;4200.0;48;33;4;7;25;12;75;2;4.8;FALSE
112;Finance;Male;39;Analyst;2018-11-06 08:03:05.556036;5;Bachelor;1;4400.0;31;5;25;12;75;3;34;0;3.51;FALSE
113;Legal;Female;30;Technician;2017-05-07 08:03:05.556036;7;Master;4;4900.0;34;14;12;8;25;2;59;0;4.5;FALSE
114;Customer Support;Male;35;Consultant;2024-06-07 08:03:05.556036;0;Bachelor;4;7700.0;43;14;0;14;75;5;31;2;3.58;FALSE
115;Legal;Female;48;Specialist;2023-06-08 08:03:05.556036;1;Bachelor;2;5400.0;32;24;1;0;25;11;88;1;1.58;FALSE
116;Customer Support;Female;56;Analyst;2021-04-26 08:03:05.556036;3;Bachelor;5;6000.0;43;5;29;8;100;11;96;0;2.47;FALSE
117;Legal;Male;26;Manager;2021-04-30 08:03:05.556036;3;High School;5;9000.0;33;4;15;3;75;17;44;2;3.24;FALSE
118;IT;Male;38;Consultant;2016-06-10 08:03:05.556036;8;PhD;4;7700.0;54;44;17;3;0;1;81;1;4.2;FALSE
119;IT;Female;27;Manager;2020-01-22 08:03:05.556036;4;Bachelor;5;9000.0;49;12;27;10;25;19;4;1;2.87;FALSE
120;Finance;Male;29;Specialist;2021-07-10 08:03:05.556036;3;Bachelor;3;5850.0;47;15;6;1;25;11;65;0;4.37;FALSE
121;Customer Support;Male;26;Specialist;2019-03-21 08:03:05.556036;5;Bachelor;1;4950.0;49;2;12;6;75;6;23;1;4.17;FALSE
122;Legal;Female;25;Technician;2019-11-27 08:03:05.556036;4;High School;1;3850.0;30;42;4;11;75;6;13;1;2.94;TRUE
123;Operations;Female;44;Manager;2015-08-12 08:03:05.556036;9;Bachelor;4;8400.0;53;11;28;5;0;12;60;1;4.47;FALSE
124;Finance;Male;46;Consultant;2014-11-04 08:03:05.556036;9;Bachelor;4;7700.0;35;31;19;7;75;14;19;0;1.14;FALSE
125;IT;Male;28;Engineer;2020-11-03 08:03:05.556036;3;High School;3;7800.0;46;4;12;7;0;1;36;2;1.39;FALSE
126;Marketing;Male;34;Developer;2015-11-10 08:03:05.556036;8;High School;1;5500.0;56;6;3;12;0;6;60;0;4.65;FALSE
127;Engineering;Other;59;Consultant;2014-10-01 08:03:05.556036;9;Bachelor;2;6600.0;50;44;17;0;100;16;35;0;4.4;FALSE
128;Sales;Male;31;Consultant;2022-06-16 08:03:05.556036;2;Bachelor;2;6600.0;59;27;22;6;100;1;44;2;1.74;FALSE
129;Sales;Male;51;Developer;2023-06-17 08:03:05.556036;1;High School;5;7500.0;45;8;7;6;50;12;66;2;1.24;TRUE
130;Sales;Other;29;Engineer;2020-05-27 08:03:05.556036;4;Bachelor;1;6600.0;39;10;25;1;100;1;66;2;1.61;FALSE
131;Engineering;Male;47;Specialist;2015-04-17 08:03:05.556036;9;Master;5;6750.0;34;14;27;6;50;15;97;2;2.84;TRUE
132;HR;Male;32;Technician;2023-12-17 08:03:05.556036;0;Bachelor;5;5250.0;52;14;28;5;25;17;34;0;2.87;FALSE
133;Marketing;Female;55;Manager;2020-10-06 08:03:05.556036;3;High School;3;7800.0;49;9;15;9;75;12;92;0;1.96;FALSE
134;Operations;Female;29;Consultant;2019-05-01 08:03:05.556036;5;High School;2;6600.0;55;41;13;2;25;13;44;1;3.83;FALSE
135;Operations;Male;24;Consultant;2022-08-10 08:03:05.556036;2;Bachelor;2;6600.0;39;24;0;12;25;11;63;0;3.79;FALSE
136;Sales;Male;23;Analyst;2021-10-06 08:03:05.556036;2;Bachelor;5;6000.0;56;28;29;1;0;12;94;0;3.03;FALSE
137;Legal;Female;35;Analyst;2017-01-11 08:03:05.556036;7;Bachelor;2;4800.0;46;21;17;2;25;6;9;1;1.25;FALSE
138;Customer Support;Male;28;Manager;2019-03-26 08:03:05.556036;5;Master;5;9000.0;40;9;12;2;100;17;34;2;4.83;FALSE
139;Finance;Male;38;Technician;2018-11-01 08:03:05.556036;5;High School;2;4200.0;34;24;23;0;100;12;22;0;1.12;FALSE
140;Legal;Female;39;Specialist;2022-12-21 08:03:05.556036;1;High School;1;4950.0;44;4;5;5;50;4;11;0;4.38;FALSE
141;Engineering;Female;23;Analyst;2019-01-15 08:03:05.556036;5;Bachelor;2;4800.0;35;20;11;1;25;13;16;1;3.61;FALSE
142;Customer Support;Male;22;Specialist;2021-03-16 08:03:05.556036;3;PhD;3;5850.0;52;6;8;14;50;6;45;1;4.61;FALSE
143;Legal;Female;60;Specialist;2016-11-21 08:03:05.556036;7;Bachelor;2;5400.0;35;27;19;2;50;15;93;0;2.62;FALSE
144;Customer Support;Female;54;Analyst;2017-02-19 08:03:05.556036;7;High School;3;5200.0;48;49;27;3;75;11;64;2;1.82;FALSE
145;Operations;Female;26;Consultant;2023-06-03 08:03:05.556036;1;Bachelor;1;6050.0;53;18;15;11;50;5;46;0;2.23;FALSE
146;Customer Support;Male;43;Consultant;2018-02-24 08:03:05.556036;6;Master;2;6600.0;41;30;12;4;25;18;80;2;4.36;FALSE
147;Legal;Female;57;Engineer;2019-06-02 08:03:05.556036;5;Bachelor;1;6600.0;39;41;7;13;0;7;1;0;3.3;FALSE
148;Sales;Male;58;Analyst;2016-11-10 08:03:05.556036;7;Master;3;5200.0;56;26;25;6;100;14;34;2;4.55;FALSE
149;IT;Female;31;Technician;2017-08-01 08:03:05.556036;7;Master;1;3850.0;59;3;13;0;50;13;78;2;4.75;FALSE
150;Finance;Female;55;Analyst;2021-03-19 08:03:05.556036;3;Bachelor;1;4400.0;57;17;21;12;100;6;92;0;3.0;FALSE
151;Operations;Male;59;Consultant;2020-10-27 08:03:05.556036;3;Bachelor;4;7700.0;52;11;15;13;50;12;19;0;4.76;FALSE
152;Sales;Male;25;Manager;2023-06-04 08:03:05.556036;1;Bachelor;4;8400.0;35;10;10;0;50;1;51;1;1.02;FALSE
153;Marketing;Female;54;Technician;2014-09-22 08:03:05.556036;9;High School;5;5250.0;37;49;22;14;100;6;21;2;4.44;FALSE
154;Customer Support;Male;60;Specialist;2017-07-14 08:03:05.556036;7;Bachelor;3;5850.0;49;19;1;7;100;12;15;2;4.88;FALSE
155;Legal;Male;51;Engineer;2015-06-22 08:03:05.556036;9;Bachelor;3;7800.0;53;49;17;1;75;3;30;2;3.78;FALSE
156;Customer Support;Female;35;Specialist;2023-06-28 08:03:05.556036;1;Master;1;4950.0;57;30;24;8;100;13;70;1;1.05;FALSE
157;Legal;Male;46;Manager;2020-05-04 08:03:05.556036;4;Bachelor;1;6600.0;34;5;7;1;25;17;71;0;1.79;FALSE
158;Operations;Female;39;Analyst;2015-07-16 08:03:05.556036;9;Bachelor;1;4400.0;55;45;14;5;50;7;11;2;3.34;FALSE
159;Legal;Female;41;Technician;2015-06-21 08:03:05.556036;9;Master;1;3850.0;31;36;21;12;100;6;98;0;4.04;FALSE
160;Operations;Female;30;Manager;2022-07-04 08:03:05.556036;2;Master;4;8400.0;52;28;17;1;100;12;27;0;4.15;TRUE
161;Engineering;Male;36;Manager;2015-12-27 08:03:05.556036;8;Master;1;6600.0;39;43;27;10;100;3;70;1;2.85;FALSE
162;HR;Male;32;Technician;2019-09-13 08:03:05.556036;4;Bachelor;5;5250.0;56;35;20;10;0;16;41;2;2.04;FALSE
163;Finance;Male;44;Technician;2023-01-19 08:03:05.556036;1;Bachelor;5;5250.0;32;46;15;14;50;19;29;0;1.78;FALSE
164;Legal;Male;37;Analyst;2016-11-21 08:03:05.556036;7;High School;1;4400.0;43;33;2;2;0;4;53;1;1.97;TRUE
165;Engineering;Male;26;Analyst;2020-12-19 08:03:05.556036;3;High School;2;4800.0;54;26;23;0;100;16;43;0;1.82;TRUE
166;Sales;Female;30;Specialist;2020-05-18 08:03:05.556036;4;High School;3;5850.0;50;29;23;9;75;12;47;2;3.49;FALSE
167;Sales;Male;36;Manager;2018-06-04 08:03:05.556036;6;High School;4;8400.0;51;44;1;6;50;12;78;1;1.14;FALSE
168;Legal;Male;31;Analyst;2016-11-18 08:03:05.556036;7;Bachelor;5;6000.0;49;48;25;0;25;19;93;0;1.97;FALSE
169;Legal;Female;39;Specialist;2019-01-27 08:03:05.556036;5;High School;4;6300.0;53;17;23;5;75;14;84;0;4.25;FALSE
170;Legal;Female;34;Technician;2019-10-22 08:03:05.556036;4;High School;5;5250.0;50;22;26;2;25;5;49;2;2.59;FALSE
171;Engineering;Male;23;Manager;2023-04-09 08:03:05.556036;1;Bachelor;3;7800.0;57;49;9;11;50;13;52;2;4.72;FALSE
172;Finance;Male;22;Developer;2015-03-28 08:03:05.556036;9;Bachelor;2;6000.0;52;23;17;3;25;6;50;2;3.63;FALSE
173;Operations;Male;43;Developer;2020-03-30 08:03:05.556036;4;PhD;2;6000.0;39;17;1;8;25;8;63;1;2.24;FALSE
174;Marketing;Female;26;Specialist;2019-09-20 08:03:05.556036;4;High School;5;6750.0;35;30;18;11;0;5;16;0;3.36;FALSE
175;Customer Support;Female;30;Analyst;2024-05-05 08:03:05.556036;0;Bachelor;2;4800.0;56;48;21;1;100;2;42;2;3.85;FALSE
176;Engineering;Female;48;Developer;2024-08-26 08:03:05.556036;0;Bachelor;3;6500.0;57;14;12;12;75;14;16;1;3.59;TRUE
177;HR;Female;54;Consultant;2017-05-13 08:03:05.556036;7;Bachelor;3;7150.0;40;2;7;8;100;18;99;1;3.79;FALSE
178;Customer Support;Male;25;Analyst;2017-08-01 08:03:05.556036;7;Bachelor;4;5600.0;40;42;14;9;100;16;47;0;1.14;FALSE
179;Customer Support;Other;48;Technician;2018-02-28 08:03:05.556036;6;Bachelor;2;4200.0;52;21;8;13;50;19;79;2;1.3;FALSE
180;Legal;Female;53;Manager;2016-06-25 08:03:05.556036;8;Master;2;7200.0;31;36;25;3;0;9;36;2;2.89;FALSE
181;Legal;Male;28;Technician;2017-04-13 08:03:05.556036;7;Bachelor;1;3850.0;36;13;13;5;0;13;67;1;2.39;TRUE
182;Legal;Male;57;Manager;2024-08-02 08:03:05.556036;0;Bachelor;2;7200.0;48;38;9;8;50;17;56;2;4.28;FALSE
183;Sales;Male;48;Technician;2018-05-28 08:03:05.556036;6;Bachelor;4;4900.0;33;26;29;4;75;5;21;1;2.47;FALSE
184;Customer Support;Female;32;Manager;2022-05-14 08:03:05.556036;2;Bachelor;5;9000.0;41;27;17;7;25;12;62;2;1.46;FALSE
185;Finance;Female;33;Technician;2015-01-15 08:03:05.556036;9;Bachelor;3;4550.0;38;30;1;11;75;9;56;2;2.69;FALSE
186;HR;Female;57;Manager;2023-07-27 08:03:05.556036;1;Bachelor;4;8400.0;35;37;7;10;100;5;59;2;4.38;FALSE
187;Legal;Male;38;Engineer;2018-10-19 08:03:05.556036;5;Master;4;8400.0;41;28;22;6;100;8;38;0;3.08;FALSE
188;IT;Female;43;Specialist;2022-02-15 08:03:05.556036;2;High School;2;5400.0;54;14;8;9;25;11;97;2;4.01;FALSE
189;Customer Support;Female;26;Specialist;2023-07-18 08:03:05.556036;1;Bachelor;2;5400.0;33;47;15;5;50;10;11;0;2.8;TRUE
190;Operations;Female;41;Consultant;2022-05-21 08:03:05.556036;2;Bachelor;1;6050.0;39;24;24;6;100;12;4;0;3.85;FALSE
191;HR;Female;37;Analyst;2016-03-17 08:03:05.556036;8;Bachelor;4;5600.0;46;18;0;9;0;10;12;0;2.32;FALSE
192;Engineering;Female;36;Analyst;2020-12-26 08:03:05.556036;3;Bachelor;2;4800.0;39;49;24;14;25;15;64;1;3.84;TRUE
193;Finance;Male;54;Specialist;2020-01-01 08:03:05.556036;4;Bachelor;1;4950.0;59;2;22;3;0;4;99;0;3.94;FALSE
194;IT;Female;45;Analyst;2021-04-10 08:03:05.556036;3;Bachelor;2;4800.0;57;28;26;2;50;15;85;0;1.48;FALSE
